rooms,area,pop,pop_dens,frg_pct,emp,tax_income,room_per_m2,luxurious,temporary,furnished,area_cat_ecoded,zurich_city,recidual (error),price,predicted_price,description_raw,bfs_name,postalcode,town
3.5,92,78801,5736.0,32.4584678868,491193.0,85446,26.29,0,0,0,2.0,1,1172.9433333333336,4210,3037.0566666666664,«Attikawohnung Erstvermietung - Stilvoll wohnen im Herzen von Oerlikon»,Zürich,8050, Zürich
2.5,75,17860,3704.0,32.4584678868,491193.0,85446,30.0,0,0,0,2.0,1,1262.0132539682536,7090,5827.986746031746,«Vermieten-Wohnung-Möbliertes Wohnobjekt 8008 Zürich Geranienstrasse»,Zürich,8008, Zürich
2.5,75,17860,3704.0,32.4584678868,491193.0,85446,30.0,0,0,0,2.0,1,2537.9867460317464,3290,5827.986746031746,"«2,5 Zimmmer Wohnung in Zürich-Seefeld»",Zürich,8008, Zürich
4.0,215,17860,3704.0,32.4584678868,491193.0,85446,53.75,0,0,0,1.0,1,1999.166666666666,790,2789.166666666666,«Exklusiver Seeblick: Luxuriöses Wohnen an der Seepromenade!»,Zürich,8008, Zürich
2.5,75,50950,5792.0,32.4584678868,491193.0,85446,30.0,1,0,0,2.0,1,808.3500000000004,6590,5781.65,"«""URBAN LUXURY with ROOFTOP TERRACE ACCESS""»",Zürich,8003, Zürich
3.5,76,41411,4512.0,32.4584678868,491193.0,85446,21.71,0,0,0,2.0,1,824.5736984126988,3350,4174.573698412699,"«Luxus Wipkingen 3.5 Zim.+W/T, +Lag.,2 Min. zum Markt, über Blueground»",Zürich,8037, Zürich
2.5,75,41411,4512.0,32.4584678868,491193.0,85446,30.0,0,0,0,2.0,1,1250.7250000000004,6900,5649.275,"«""Serviced 1-bedroom apartment: spectacular view & luxurious interior»",Zürich,8037, Zürich
2.5,65,41411,4512.0,32.4584678868,491193.0,85446,26.0,0,0,0,2.0,1,1527.0500000000002,5900,4372.95,«Serviced 1-bedroom with great view and luxurious interior design»,Zürich,8037, Zürich
2.5,70,41411,4512.0,32.4584678868,491193.0,85446,28.0,0,0,0,2.0,1,2039.7076944444439,5750,3710.292305555556,«Urban and chic - serviced 1-bedroom apartment»,Zürich,8037, Zürich
2.5,75,420217,4778.9946548391,32.4584678868,491193.0,85446,30.0,0,0,0,2.0,0,1206.8000000000002,1790,2996.8,«Oberengstringen»,Zürich,8102, Oberengstringen
3.5,135,15874,7942.0,32.4584678868,491193.0,85446,38.57,0,0,0,1.0,1,903.9341666666678,7000,6096.065833333332,«TERRASSE MIT AUSSICHT ÜBER DIE STADT»,Zürich,8005, Zürich
2.5,70,39647,2574.0,32.4584678868,491193.0,85446,28.0,0,0,0,2.0,1,1089.7709047619046,5900,4810.229095238095,"«""Wohnoase im Englisch Viertel - Serviced Apartment in Jugendstil-Villa»",Zürich,8032, Zürich
4.5,98,39647,2574.0,32.4584678868,491193.0,85446,21.78,0,0,0,2.0,1,966.908928571429,2280,3246.908928571429,«**Zürich-Witikon** befristetes Wohnen bis 31.03.2025»,Zürich,8053, Zürich
3.5,137,37639,3254.0,32.4584678868,491193.0,85446,39.14,0,0,0,1.0,1,934.1000000000004,6440,5505.9,«Ihre neue Wohlfühloase im Herzen von Zürich-Enge!»,Zürich,8002, Zürich
2.5,70,78801,5736.0,32.4584678868,491193.0,85446,28.0,0,0,0,2.0,1,1230.0642857142857,5900,4669.935714285714,«Spacious apartment with spectacular view and luxururious design»,Zürich,8057, Zürich
2.5,282,15874,7942.0,32.4584678868,491193.0,85446,112.8,0,0,0,1.0,1,2136.663333333334,7500,5363.336666666666,«WOHNTRAUM IM KREIS 5»,Zürich,8005,Zürich
2.5,57,420217,4778.9946548391,32.4584678868,491193.0,85446,22.8,0,0,0,2.0,0,1095.7849999999999,3540,2444.215,"«Modernes Langstraße 2.5 Zim. + Lager, 5 Min. zur Tram, über Blueground»",Zürich,8004,Zürich
3.5,92,78801,5736.0,32.4584678868,491193.0,85446,26.29,0,0,0,2.0,1,1027.0566666666664,2010,3037.0566666666664,«Wohnen an zentraler Lage»,Zürich,8052,Zürich
2.5,57,420217,4778.9946548391,32.4584678868,491193.0,85446,22.8,0,0,0,2.0,0,1074.2150000000001,1370,2444.215,«Wohnen an zentraler Lage»,Zürich,8102,Oberengstringen
4.5,97,39647,2574.0,32.4584678868,491193.0,85446,21.56,0,0,0,2.0,1,912.0754047619048,5810,4897.924595238095,"«Schike Weinegg 4.5 Zim.+W/T, +Lag.,2 Min. zum Markt, über Blueground»",Zürich,8032,Zürich
3.5,91,37639,3254.0,32.4584678868,491193.0,85446,26.0,0,0,0,2.0,1,802.2449999999999,2950,3752.245,«Überbauung Greencity: Gemütliche Neubauwohnung im 7. OG»,Zürich,8041,Zürich
2.5,77,420217,4778.9946548391,32.4584678868,491193.0,85446,30.8,0,0,0,2.0,0,836.6999999999998,5250,4413.3,«7 Gehminuten bis zur Oper»,Zürich,8008,Zürich
3.5,70,29944,10008.0,32.4584678868,491193.0,85446,20.0,0,0,0,2.0,1,881.6683333333335,2640,3521.6683333333335,«Am Puls des Stadtlebens»,Zürich,8004,Zürich
2.5,56,50950,5792.0,32.4584678868,491193.0,85446,22.4,0,0,0,2.0,1,900.2066666666669,1870,2770.206666666667,«Ihre Wohnung an ruhiger Lage - befristetes Wohnen»,Zürich,8055,Zürich
3.5,102,29303,2151.4684287812,35.9451250725,20104.0,79563,29.14,0,0,0,1.0,0,987.1735476190474,2580,3567.1735476190474,«Urbanes Wohnen»,Dübendorf,8600,Dübendorf
4.5,115,21014,3759.2128801431,44.9129151994,19226.0,71979,25.56,0,0,0,1.0,0,930.658571428572,5300,4369.341428571428,"«Luxus Opfikon 4.5 Zim.+W/T, +Lag.,2 Min. zum Markt, über Blueground»",Opfikon,8152,Opfikon
4.5,94,7727,891.2341407151,27.7856865536,1533.0,96048,20.89,0,0,0,2.0,0,870.4749999999999,4650,3779.525,«FRISCH RENOVIERT AN GUTER LAGE»,Langnau am Albis,8135, Langnau am Albis
4.5,120,8923,3458.527131783,32.8589039561,4127.0,185213,26.67,1,0,0,1.0,0,1053.1866666666674,6600,5546.813333333333,«LUXURIÖSER NEUBAU MIT VIEL TAGESLICHT»,Kilchberg (ZH),8802, Kilchberg ZH
5.5,182,13067,1664.5859872612,26.0580087243,5764.0,171602,33.09,0,0,0,1.0,0,965.2200000000003,7500,6534.78,«Ihr neues Zuhause mit Seesicht»,Zollikon,8702, Zollikon
2.0,100,13067,1664.5859872612,26.0580087243,5764.0,171602,50.0,0,0,0,2.0,0,883.31,2080,2963.31,«Wunderschönes WG-Zimmer (2 Räume) mit eigenem Badezimmer»,Zollikon,8125,Zollikerberg
4.5,138,18139,3298.0,29.0313688737,6582.0,113194,30.67,0,0,0,1.0,0,1207.4799999999996,7800,6592.52,«The Roof of Thalwil»,Thalwil,8800, Thalwil
3.5,71,18944,2438.0952380952,37.7850506757,7507.0,89522,20.29,0,0,0,2.0,0,844.2418452380948,3155,2310.758154761905,«Neue Kernsanierte 3.5-Zimmerwohnungen zu vermieten»,Adliswil,8134, Adliswil
4.5,128,37639,3254.0,32.4584678868,491193.0,85446,28.44,0,0,0,1.0,1,1063.2833333333333,3020,4083.2833333333333,«Dachmaisonettewohnung an ruhiger Lage mit Aussicht auf die Alpen»,Zürich,8041, Zürich
2.5,75,17860,3704.0,32.4584678868,491193.0,85446,30.0,0,0,0,2.0,1,1072.0132539682536,6900,5827.986746031746,«2.5 Zimmerwohnung mit Seesicht und Garten»,Zürich,8008, Zürich
2.5,70,41411,4512.0,32.4584678868,491193.0,85446,28.0,0,0,0,2.0,1,1395.2923055555561,2315,3710.292305555556,«Wohenn direkt an der Limmat!»,Zürich,8049, Zürich
4.5,146,39647,2574.0,32.4584678868,491193.0,85446,32.44,0,0,0,1.0,1,836.79,5900,5063.21,"«ZENTRAL UND GROSSZÜGIG, MIT HERRLICHER AUSSICHT»",Zürich,8032, Zürich
2.5,70,113173,1662.5973262818,24.535003932,73339.0,70966,28.0,0,0,0,2.0,0,989.9083928571429,2850,1860.0916071428571,«Grosszügige 2.5 Attikawohnung möbliert»,Winterthur,8405, Winterthur
4.5,101,35007,1228.7469287469,23.0096837775,17237.0,79839,22.44,0,0,0,1.0,0,899.9156190476192,3210,2310.084380952381,«Helle und moderne Maisonette-Wohnung mit Galerie»,Uster,8610, Uster
